hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
no,no,no,13-15years,white,no,42.0,0,0,2.0,northcentral,0
no,no,no,13-15years,white,no,18.0,1,3,0.0,northcentral,16
yes,no,yes,16years,white,no,20.0,0,7,5.0,northcentral,24
no,no,no,12years,white,no,42.0,0,0,0.0,northcentral,0
no,no,no,13-15years,white,no,42.0,0,0,0.0,northcentral,0
no,no,no,12years,white,no,26.0,0,1,5.0,northcentral,20
no,no,no,13-15years,white,no,19.0,0,2,0.0,northcentral,0
yes,no,yes,12years,white,no,32.0,0,0,40.0,northcentral,26
yes,no,yes,12years,white,no,47.0,0,0,11.0,northcentral,24
yes,no,yes,12years,white,no,41.0,0,0,7.483,northcentral,0
yes,no,yes,12years,white,no,11.0,1,2,33.648,northcentral,40
yes,no,yes,12years,white,no,27.0,0,0,58.0,northcentral,40
no,no,no,12years,white,no,13.0,0,2,10.172,northcentral,40
yes,no,yes,12years,white,no,46.0,0,0,0.0,northcentral,0
no,yes,no,12years,white,no,46.0,0,0,0.0,northcentral,0
no,yes,no,9-11years,white,no,47.5,0,0,0.0,northcentral,40
no,no,no,12years,white,no,17.0,3,0,0.0,northcentral,0
yes,no,yes,12years,white,no,28.0,0,0,37.0,northcentral,0
no,no,no,12years,white,no,12.0,2,1,0.0,northcentral,0
yes,no,yes,12years,white,no,28.0,0,2,40.0,other,45
yes,no,yes,12years,white,no,17.0,0,3,40.808,other,10
yes,no,yes,12years,white,no,8.0,2,1,25.0,other,20
no,yes,yes,12years,white,no,42.0,0,0,0.0,other,0
yes,no,yes,12years,white,no,39.0,0,0,30.0,other,15
no,yes,yes,13-15years,white,no,34.0,0,0,40.0,other,32
yes,no,yes,>16years,white,yes,13.0,1,1,60.0,other,18
yes,no,yes,16years,white,no,23.0,0,2,53.0,other,50
yes,yes,yes,12years,white,no,20.0,0,1,22.0,other,40
yes,yes,yes,13-15years,white,no,22.0,0,2,31.0,other,40
yes,no,yes,12years,white,no,29.0,0,1,37.0,other,0
yes,no,yes,12years,white,no,19.0,0,3,50.0,other,30
no,yes,yes,16years,white,no,31.0,0,0,47.0,other,40
yes,no,yes,12years,white,no,15.0,1,1,30.4,other,17
no,yes,no,>16years,white,no,8.0,0,0,18.0,other,40
no,yes,yes,13-15years,white,no,19.0,0,3,22.0,other,36
no,yes,no,13-15years,white,no,35.0,0,1,2.6,other,35
no,no,no,12years,white,no,26.0,0,2,0.0,other,20
yes,yes,yes,16years,white,no,21.0,0,0,54.0,other,38
yes,no,yes,9-11years,white,no,44.5,0,0,22.0,other,30
yes,no,yes,13-15years,white,no,28.0,0,1,44.44,other,40
no,yes,no,12years,white,no,44.0,0,0,0.0,other,50
yes,no,yes,12years,white,no,26.0,0,3,23.12,other,37
no,yes,no,>16years,white,no,34.0,0,1,0.0,other,30
yes,yes,yes,>16years,white,no,10.0,1,0,28.0,other,37
no,yes,no,16years,white,no,30.0,0,0,67.0,other,35
no,no,no,9-11years,white,no,10.5,0,0,10.0,other,40
yes,no,yes,12years,white,no,12.0,3,1,2.7,other,0
no,no,no,9-11years,white,no,19.5,0,0,0.0,other,0
yes,no,yes,12years,white,no,44.0,0,0,34.875,other,16
yes,no,yes,12years,white,no,15.0,0,2,28.2,other,20
yes,no,yes,16years,white,no,3.0,1,0,38.715,other,40
yes,no,yes,16years,white,no,12.0,2,1,48.0,other,10
yes,no,yes,16years,white,no,21.0,0,2,34.8,other,45
yes,no,yes,13-15years,white,no,30.0,0,0,59.0,other,22
yes,no,yes,16years,white,no,21.0,1,1,0.0,other,20
yes,no,yes,16years,white,no,9.0,2,0,55.5,other,32
no,yes,no,13-15years,white,yes,10.0,0,2,33.0,other,40
yes,no,yes,13-15years,white,yes,10.0,2,0,26.0,other,40
yes,no,yes,12years,white,no,16.0,0,1,24.241,other,40
no,yes,no,13-15years,white,no,10.0,0,0,30.0,other,36
yes,no,yes,13-15years,white,no,18.0,0,3,60.0,other,18
no,yes,no,>16years,black,no,19.0,0,1,26.0,other,40
yes,no,yes,12years,white,no,9.0,2,0,29.0,other,0
no,yes,yes,12years,white,no,36.0,0,0,35.0,other,40
yes,no,yes,>16years,white,no,33.0,0,0,55.0,other,40
no,yes,no,13-15years,white,no,19.0,0,2,3.0,other,48
yes,yes,yes,12years,white,no,32.0,0,0,50.0,other,40
yes,no,yes,12years,white,no,46.0,0,0,0.0,other,0
no,yes,no,13-15years,black,no,32.0,0,0,0.0,other,40
yes,yes,yes,12years,white,no,21.0,1,1,45.0,other,25
yes,yes,yes,16years,white,no,13.0,0,0,36.7,other,40
yes,no,yes,16years,white,no,22.0,1,1,85.0,other,0
no,yes,no,12years,white,no,34.0,0,0,30.0,other,40
yes,no,yes,12years,white,no,13.0,2,0,14.0,other,28
yes,no,yes,12years,white,no,36.0,0,1,28.0,other,40
yes,no,yes,9-11years,white,no,16.5,0,0,43.0,other,20
yes,no,yes,12years,white,no,23.0,0,2,25.0,other,45
yes,no,yes,16years,white,no,23.0,1,1,44.0,other,0
yes,no,yes,13-15years,white,no,21.0,0,0,58.0,other,0
yes,no,yes,12years,white,no,21.0,0,2,37.0,other,0
no,no,no,16years,black,no,20.0,0,2,52.0,other,40
yes,no,yes,12years,white,no,18.0,1,0,35.0,other,0
no,no,no,13-15years,white,no,22.0,0,1,40.0,other,0
no,yes,no,>16years,white,no,-1.0,0,0,0.0,other,20
no,yes,no,12years,white,yes,8.0,1,0,0.0,other,35
yes,yes,yes,12years,white,yes,44.0,0,0,0.0,other,35
no,no,no,>16years,white,yes,33.0,0,0,99.999,other,8
yes,no,yes,16years,white,no,40.0,0,0,0.75,other,0
no,no,no,9-11years,white,no,28.5,0,0,45.0,other,0
no,yes,no,13-15years,white,no,25.0,0,2,0.8,other,40
yes,no,yes,9-11years,white,no,42.5,0,0,23.0,other,40
yes,no,yes,12years,white,no,19.0,0,0,38.0,other,0
no,yes,yes,12years,white,no,30.0,0,0,35.0,other,30
yes,yes,yes,12years,white,no,20.0,1,0,44.0,other,35
no,yes,no,12years,white,no,47.0,0,0,0.0,other,40
yes,no,yes,12years,white,no,38.0,0,0,40.0,other,0
no,yes,no,9-11years,black,no,35.5,0,0,7.0,other,45
no,no,no,12years,black,no,23.0,1,3,4.2,other,30
no,yes,yes,16years,black,no,27.0,0,0,99.999,other,35
yes,no,yes,12years,white,no,19.0,0,3,30.0,other,30
yes,no,yes,16years,white,no,22.0,0,1,55.0,other,40
yes,no,yes,13-15years,white,no,35.0,0,0,0.0,other,40
no,yes,no,16years,white,no,7.0,0,0,65.0,other,45
yes,yes,yes,12years,white,no,11.0,1,0,40.0,other,30
yes,no,yes,16years,white,no,22.0,0,2,36.0,other,25
yes,yes,yes,12years,white,no,23.0,1,1,42.0,other,40
yes,yes,yes,12years,white,no,9.0,0,0,52.0,other,40
yes,no,yes,12years,white,no,46.0,0,0,25.0,other,0
yes,no,yes,12years,white,no,42.0,0,0,0.0,other,20
no,no,no,16years,white,no,18.0,1,1,0.0,other,40
yes,no,yes,16years,white,no,18.0,0,0,23.0,other,0
no,no,no,12years,white,no,32.0,0,0,0.0,other,0
yes,no,yes,>16years,white,no,22.0,0,2,40.0,other,30
no,yes,no,>16years,white,no,24.0,0,2,51.0,other,45
yes,no,yes,13-15years,white,no,17.0,1,0,65.0,other,40
yes,no,yes,13-15years,white,no,35.0,0,1,9.0,other,0
no,yes,no,9-11years,black,no,47.5,0,0,0.0,other,40
no,yes,yes,13-15years,white,no,10.0,0,0,32.0,other,40
yes,no,yes,12years,white,no,15.0,2,0,50.0,other,0
no,no,yes,9-11years,white,no,10.5,1,1,20.0,other,35
no,no,no,12years,white,no,11.0,1,3,0.0,other,0
no,yes,no,16years,white,no,13.0,1,0,0.0,other,44
yes,yes,yes,13-15years,black,no,21.0,0,1,37.0,other,40
no,yes,no,16years,white,no,12.0,2,1,53.0,other,40
yes,no,yes,12years,white,no,10.0,0,2,20.0,other,45
no,no,no,9-11years,white,no,4.5,2,0,9.2,other,0
no,no,no,<9years,white,no,10.0,3,0,0.0,other,0
no,yes,yes,>16years,white,no,36.0,0,0,0.0,other,40
no,yes,yes,13-15years,white,no,9.0,0,0,30.8,other,20
yes,no,yes,>16years,white,no,19.0,0,2,51.576,other,22
no,no,no,12years,black,no,14.0,3,0,0.0,other,0
no,yes,yes,16years,white,no,18.0,0,1,13.347,other,40
yes,no,yes,12years,white,no,8.0,1,1,11.34,other,35
yes,no,yes,12years,white,no,20.0,1,1,57.0,other,0
yes,yes,yes,>16years,white,no,35.0,0,0,76.685,other,40
yes,no,yes,12years,white,no,39.0,0,0,0.0,other,0
no,no,no,16years,white,no,39.0,0,0,0.0,other,0
yes,no,yes,12years,white,no,16.0,1,2,27.0,other,0
yes,no,yes,12years,white,no,46.0,0,0,7.0,other,0
no,no,no,9-11years,white,no,46.5,0,0,19.0,other,20
no,yes,no,12years,white,no,23.0,0,2,10.0,other,40
no,no,no,12years,white,no,28.0,0,0,5.0,other,40
no,yes,no,12years,white,no,34.0,0,0,0.0,other,40
yes,no,yes,12years,white,no,41.0,0,0,5.0,other,37
no,no,no,9-11years,white,no,31.5,0,0,0.0,other,0
no,yes,no,13-15years,white,no,14.0,2,0,59.0,other,40
no,yes,no,12years,white,no,33.0,0,0,0.0,other,40
no,yes,yes,12years,white,no,44.0,0,0,31.0,other,44
yes,no,yes,9-11years,white,no,22.5,1,2,0.0,other,10
no,no,no,>16years,white,no,23.0,0,1,60.0,other,25
yes,no,yes,>16years,white,no,16.0,1,1,45.0,other,50
yes,yes,yes,9-11years,white,no,42.5,0,0,30.0,other,26
yes,yes,yes,>16years,white,no,17.0,0,3,45.0,other,40
yes,yes,yes,12years,white,no,40.0,0,0,17.0,other,25
no,yes,no,16years,white,no,7.0,1,0,37.0,other,40
no,yes,yes,16years,white,no,9.0,1,0,35.0,other,40
yes,no,yes,12years,white,no,13.0,0,0,12.0,other,28
yes,no,yes,>16years,white,no,16.0,0,2,68.0,other,15
no,yes,yes,>16years,white,no,10.0,0,0,66.0,other,60
yes,no,yes,16years,white,no,28.0,0,0,30.0,other,32
no,no,no,13-15years,white,no,18.0,2,2,0.0,other,0
no,yes,yes,16years,white,no,12.0,0,0,29.5,other,35
yes,no,yes,13-15years,white,no,22.0,0,1,99.999,other,5
no,yes,no,<9years,white,no,36.0,0,0,0.0,other,40
yes,no,yes,>16years,white,no,28.0,0,0,54.0,other,0
no,yes,yes,>16years,white,no,3.0,0,0,40.0,other,40
no,yes,yes,12years,white,no,31.0,0,0,42.0,other,40
yes,no,yes,16years,white,no,29.0,0,1,65.0,other,8
no,yes,no,>16years,white,no,12.0,1,0,14.0,other,50
no,yes,no,13-15years,white,no,39.0,0,0,63.0,other,35
yes,no,yes,>16years,white,no,25.0,0,0,60.0,other,20
yes,yes,yes,12years,white,no,44.0,0,0,0.0,other,36
no,yes,no,9-11years,white,no,41.5,0,0,28.0,other,40
no,no,yes,16years,white,no,26.0,0,1,43.0,other,30
no,no,no,<9years,white,no,32.0,0,1,21.0,other,6
no,yes,no,>16years,white,no,24.0,0,2,52.0,other,40
yes,yes,yes,12years,white,no,32.0,0,0,36.0,other,40
no,no,no,>16years,white,no,20.0,0,2,20.0,other,0
no,yes,yes,13-15years,white,no,11.0,1,0,35.0,other,40
no,yes,yes,16years,white,no,3.0,0,0,28.0,other,50
yes,no,yes,13-15years,white,no,28.0,0,0,44.0,other,40
no,no,no,13-15years,white,no,25.0,0,2,9.999,other,35
yes,no,yes,12years,white,no,36.0,0,0,30.0,other,40
no,yes,no,16years,white,no,17.0,1,0,18.0,other,32
yes,no,yes,13-15years,white,no,11.0,0,0,27.0,other,50
no,no,no,12years,white,no,28.0,0,0,41.2,other,40
yes,no,yes,12years,white,no,40.0,0,0,52.0,other,25
no,yes,no,>16years,white,no,11.0,0,0,30.0,other,40
yes,no,yes,12years,white,no,18.0,0,0,33.0,other,40
yes,no,yes,9-11years,white,no,29.5,0,3,46.0,other,0
no,yes,no,13-15years,white,no,11.0,0,0,49.0,other,37
no,no,no,16years,white,no,8.0,0,0,40.0,other,0
no,no,no,16years,white,no,2.0,0,0,7.0,other,20
yes,no,yes,13-15years,white,no,19.0,0,3,40.0,other,45
no,yes,no,12years,white,no,39.0,0,0,0.0,other,40
no,no,no,12years,white,yes,14.0,0,0,10.4,other,4
no,yes,no,<9years,white,yes,20.0,2,1,9.0,other,40
yes,no,yes,<9years,white,yes,32.0,0,1,20.0,other,40
no,no,no,12years,white,yes,13.0,0,2,13.0,other,40
no,yes,no,>16years,white,no,6.0,0,0,32.0,other,40
yes,no,yes,16years,white,no,23.0,1,3,65.0,other,0
no,yes,no,13-15years,white,no,20.0,0,1,37.0,other,25
no,yes,yes,13-15years,white,no,36.0,0,0,30.0,other,44
no,no,yes,<9years,white,no,48.0,0,0,0.0,other,0
yes,no,yes,12years,white,no,43.0,0,0,22.0,other,0
yes,no,yes,9-11years,white,no,46.5,0,0,0.0,other,0
yes,no,yes,12years,white,no,40.0,0,0,25.0,other,16
no,no,no,13-15years,white,no,10.0,0,3,6.0,other,35
no,no,no,12years,white,no,6.0,3,0,22.0,other,25
no,yes,yes,<9years,white,no,38.0,0,0,26.0,other,40
no,no,no,12years,white,no,26.0,2,1,0.0,other,60
no,yes,no,9-11years,white,no,39.5,0,1,0.0,other,35
no,yes,no,9-11years,white,yes,23.5,0,2,14.0,other,40
yes,no,yes,12years,white,no,10.0,1,1,30.4,other,25
no,no,no,12years,white,no,15.0,0,0,0.0,other,40
no,yes,no,<9years,white,no,48.0,0,0,17.0,other,40
yes,no,yes,13-15years,white,no,20.0,0,2,42.0,other,5
yes,no,yes,>16years,white,no,22.0,0,2,80.0,other,0
yes,no,yes,>16years,white,no,22.0,0,2,45.806,other,32
yes,no,yes,12years,white,no,40.0,0,0,0.0,other,0
yes,yes,yes,12years,white,no,29.0,0,1,31.5,other,35
no,no,no,<9years,white,yes,44.0,0,0,0.0,other,0
no,yes,yes,12years,white,no,30.0,0,0,32.0,other,40
yes,yes,yes,16years,white,no,27.0,0,1,69.0,other,50
yes,no,yes,>16years,white,no,26.0,0,1,51.5,other,45
yes,no,yes,12years,white,no,30.0,0,0,40.0,other,20
no,no,no,13-15years,white,no,42.0,0,0,0.0,other,25
yes,yes,yes,16years,white,no,25.0,0,1,40.059,other,50
yes,no,yes,12years,white,no,19.0,0,2,59.381,other,20
yes,no,yes,13-15years,white,no,25.0,0,1,40.0,other,25
yes,yes,yes,12years,white,no,25.0,0,1,47.0,other,40
yes,no,yes,12years,white,no,28.0,0,2,90.0,other,20
no,yes,no,16years,white,no,17.0,0,0,40.0,other,50
yes,no,yes,16years,white,no,32.0,0,0,55.0,other,40
yes,yes,yes,13-15years,white,no,25.0,0,1,38.0,other,40
yes,yes,yes,13-15years,white,no,24.0,0,0,45.0,other,40
yes,yes,yes,9-11years,white,no,32.5,0,0,30.0,other,38
no,yes,no,12years,white,no,45.0,0,0,0.0,other,55
yes,no,yes,13-15years,white,no,14.0,0,2,0.0,other,43
no,no,no,9-11years,white,no,41.5,0,0,0.0,other,0
yes,no,yes,12years,white,no,39.0,0,0,27.0,other,0
yes,no,yes,12years,white,no,42.0,0,0,0.0,other,0
yes,no,yes,12years,white,no,24.0,0,3,29.74,other,40
yes,yes,yes,16years,white,no,31.0,0,0,80.0,other,35
yes,no,yes,16years,white,no,10.0,1,1,41.0,other,0
yes,no,yes,12years,white,no,37.0,0,0,0.0,other,0
yes,no,yes,12years,white,no,13.0,2,1,34.975,other,0
yes,no,yes,9-11years,white,yes,7.5,1,0,18.076,other,0
no,yes,no,16years,white,no,6.0,1,0,10.2,other,40
no,yes,no,13-15years,white,no,5.0,0,0,0.0,other,40
no,yes,no,16years,white,no,3.0,0,0,0.0,other,45
yes,no,yes,12years,white,no,36.0,0,0,40.0,other,20
yes,no,yes,13-15years,white,no,23.0,0,3,50.0,other,0
no,no,no,<9years,white,no,12.0,2,2,0.0,other,0
no,yes,no,16years,white,no,11.0,1,1,0.0,other,45
yes,no,yes,12years,white,no,41.0,0,0,26.0,other,0
no,yes,no,13-15years,white,no,6.0,0,0,9.9,other,40
no,no,no,12years,white,no,12.0,0,0,0.0,other,35
no,yes,no,12years,black,no,25.0,0,1,26.0,other,40
no,yes,no,>16years,white,no,7.0,2,1,0.0,other,40
no,yes,no,12years,white,no,20.0,0,2,47.0,other,40
yes,no,yes,12years,white,no,32.0,0,0,36.56,other,0
no,yes,no,13-15years,white,no,11.0,1,0,26.0,other,40
no,no,no,13-15years,white,no,15.0,1,1,0.4,other,20
no,yes,no,13-15years,white,no,11.0,1,0,42.0,other,0
yes,no,yes,>16years,white,no,28.0,0,0,0.0,other,30
yes,no,yes,13-15years,white,no,32.0,0,0,52.0,other,24
no,yes,no,13-15years,white,no,29.0,0,0,10.0,other,44
no,yes,yes,12years,white,no,45.0,0,0,63.0,other,30
no,yes,no,>16years,white,no,11.0,0,0,12.0,other,40
yes,no,yes,12years,white,no,20.0,0,2,50.96,other,30
no,yes,yes,12years,white,no,13.0,0,0,30.0,other,40
no,yes,no,>16years,white,no,28.0,0,0,0.0,other,8
no,no,no,12years,white,no,47.0,0,0,2.0,other,6
yes,yes,yes,<9years,white,no,40.0,0,0,0.0,other,50
yes,yes,yes,12years,white,no,40.0,0,0,0.0,other,35
yes,yes,yes,16years,white,no,22.0,0,0,75.0,other,40
no,yes,no,13-15years,white,no,24.0,0,3,99.999,other,40
no,yes,no,16years,white,no,22.0,0,0,0.0,other,35
yes,no,yes,16years,white,no,18.0,1,2,99.999,other,0
no,yes,yes,13-15years,white,no,36.0,0,0,42.0,other,38
no,no,no,12years,white,no,18.0,0,2,0.0,other,45
yes,no,yes,12years,white,no,43.0,0,0,6.0,other,0
yes,no,yes,12years,white,no,12.0,0,0,27.0,other,40
yes,no,yes,13-15years,white,no,18.0,2,0,0.0,other,0
no,yes,no,12years,white,no,39.0,0,0,39.7,other,40
no,yes,no,12years,white,no,16.0,0,2,35.0,other,40
yes,yes,yes,13-15years,white,no,7.0,0,0,17.0,other,40
yes,no,yes,12years,white,no,21.0,0,0,32.0,other,24
yes,no,yes,12years,white,no,26.0,0,2,24.289,other,38
yes,no,yes,12years,white,no,10.0,2,0,54.045,other,0
yes,yes,yes,13-15years,white,no,22.0,2,0,25.5,other,40
yes,no,yes,13-15years,white,no,14.0,0,2,31.0,other,32
yes,no,yes,9-11years,white,no,22.5,0,0,17.0,other,42
yes,no,yes,12years,white,no,15.0,0,3,29.0,other,0
no,yes,no,13-15years,white,no,13.0,2,0,0.0,other,40
no,no,no,13-15years,white,no,22.0,1,0,60.5,other,13
yes,no,yes,12years,white,no,19.0,0,0,33.0,other,16
no,no,no,13-15years,white,yes,7.0,0,0,0.0,other,20
yes,no,yes,12years,white,no,40.0,0,0,20.0,other,35
yes,no,yes,12years,white,no,15.0,2,0,0.0,other,40
no,no,no,12years,white,no,37.0,0,0,0.32,other,0
yes,no,yes,12years,white,no,32.0,0,3,9.5,other,40
no,no,no,12years,white,no,38.0,0,0,0.0,other,40
no,yes,no,>16years,white,no,24.0,0,1,0.0,other,40
no,yes,no,12years,white,no,13.0,0,0,14.12,other,40
yes,no,yes,12years,white,no,22.0,0,2,19.261,other,40
no,yes,no,13-15years,white,no,44.0,0,0,0.4,other,0
no,no,no,16years,white,no,20.0,0,2,80.0,other,0
yes,no,yes,16years,white,no,36.0,0,0,45.0,other,0
no,yes,no,16years,white,no,16.0,0,1,13.0,other,40
yes,no,yes,13-15years,white,no,17.0,0,2,51.0,other,19
no,no,no,12years,white,no,13.0,1,0,20.0,other,30
no,no,no,13-15years,white,no,15.0,2,0,0.0,other,40
no,no,no,13-15years,white,no,21.0,0,2,0.0,other,0
no,yes,no,12years,white,no,32.0,0,0,40.0,other,40
yes,no,yes,16years,white,no,29.0,0,0,36.0,other,20
no,no,no,<9years,white,no,20.0,0,2,18.5,other,0
yes,no,yes,12years,white,no,45.0,0,0,34.0,other,40
yes,yes,yes,16years,white,no,33.0,0,0,25.0,other,40
yes,no,yes,12years,white,no,17.0,2,0,60.0,other,0
no,yes,no,12years,white,no,28.0,0,0,0.0,other,40
yes,yes,yes,12years,white,no,31.0,0,0,33.0,other,40
yes,no,yes,13-15years,white,no,29.0,0,0,3.0,other,20
no,yes,yes,13-15years,white,no,34.0,0,0,25.0,other,40
yes,yes,yes,9-11years,white,no,25.5,2,0,40.0,other,40
no,no,yes,>16years,white,no,3.0,0,0,40.0,other,70
yes,no,yes,12years,white,no,37.0,0,0,20.0,other,0
yes,yes,yes,12years,white,no,14.0,0,2,34.0,other,35
yes,no,yes,12years,white,no,21.0,1,2,57.0,other,20
yes,no,yes,16years,white,no,13.0,1,0,80.0,other,30
yes,no,yes,12years,white,no,20.0,3,0,45.0,other,0
yes,no,yes,12years,white,no,33.0,0,0,23.14,other,0
yes,no,yes,12years,white,no,34.0,0,0,40.0,other,0
yes,no,yes,12years,white,no,16.0,3,0,0.0,other,0
no,no,no,12years,white,no,44.0,0,0,8.5,other,0
no,no,no,13-15years,white,no,24.0,1,0,22.0,other,20
no,no,no,<9years,white,no,27.0,1,3,30.0,other,0
no,yes,no,16years,white,no,35.0,0,0,0.0,other,40
no,no,no,12years,white,no,4.0,1,0,2.0,other,40
no,no,no,16years,white,yes,18.0,1,0,35.0,other,0
yes,no,yes,16years,white,no,31.0,0,1,35.0,other,0
no,yes,no,12years,black,no,27.0,0,0,15.0,other,40
no,yes,no,12years,black,no,20.0,1,0,17.0,other,38
no,no,no,12years,white,no,17.0,1,0,67.6,other,40
yes,no,yes,13-15years,black,no,8.0,1,0,11.0,other,40
yes,yes,yes,12years,black,yes,14.0,0,2,24.0,other,40
no,no,no,12years,black,no,41.0,2,3,0.0,other,50
yes,no,yes,9-11years,white,yes,25.5,0,0,0.0,other,0
yes,no,yes,<9years,black,yes,35.0,0,0,23.0,other,0
yes,no,yes,9-11years,white,yes,15.5,1,2,30.0,other,0
yes,yes,yes,12years,white,no,9.0,0,0,21.0,other,40
yes,no,yes,12years,white,no,28.0,0,0,38.0,other,40
yes,no,yes,12years,white,yes,25.0,0,1,40.0,other,40
